epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,4619.45,0.64034,0.40818,0.84272,0.9325,0.93932,0.95697,0.7662,0.75242,0.61396,0.92823,0.000178356,0.000178356,0.000178356
76,4678.01,0.64415,0.40772,0.84395,0.90391,0.94915,0.96283,0.78036,0.78411,0.62939,0.94335,0.000171752,0.000171752,0.000171752
77,4737.64,0.65129,0.41222,0.84496,0.93247,0.93179,0.9588,0.78292,0.75497,0.62563,0.92688,0.000165149,0.000165149,0.000165149
78,4797.33,0.65205,0.41415,0.84745,0.9142,0.9502,0.95505,0.77491,0.76319,0.61747,0.93073,0.000158546,0.000158546,0.000158546
79,4856.44,0.64509,0.4146,0.84345,0.90456,0.94781,0.95439,0.77652,0.75778,0.63479,0.92772,0.000151943,0.000151943,0.000151943
80,4915.79,0.64361,0.40983,0.84909,0.92615,0.93041,0.95335,0.77943,0.74826,0.61274,0.91999,0.000145339,0.000145339,0.000145339
81,4974.3,0.63704,0.40113,0.84707,0.93539,0.93232,0.95359,0.77474,0.74328,0.60463,0.91915,0.000138736,0.000138736,0.000138736
82,5033.77,0.64486,0.39472,0.84883,0.92482,0.93642,0.94963,0.77129,0.75257,0.61742,0.92406,0.000132133,0.000132133,0.000132133
83,5093.71,0.63655,0.40437,0.85436,0.92742,0.94466,0.95645,0.77048,0.77229,0.59421,0.9347,0.000125529,0.000125529,0.000125529
84,5152.35,0.63142,0.39795,0.84801,0.90114,0.97106,0.95618,0.77296,0.73717,0.5966,0.9181,0.000118926,0.000118926,0.000118926
85,5211.26,0.64545,0.40823,0.85648,0.90068,0.96292,0.95765,0.77643,0.75543,0.5999,0.92605,0.000112323,0.000112323,0.000112323
86,5271.65,0.63293,0.38822,0.84202,0.9301,0.92991,0.96152,0.78104,0.75528,0.59889,0.92661,0.00010572,0.00010572,0.00010572
87,5330.94,0.61947,0.38364,0.84749,0.93067,0.94401,0.95696,0.78108,0.75742,0.58796,0.92818,9.91162e-05,9.91162e-05,9.91162e-05
88,5390.58,0.63858,0.39665,0.84946,0.93412,0.9445,0.95149,0.76739,0.75608,0.59522,0.92439,9.25129e-05,9.25129e-05,9.25129e-05
89,5450.01,0.62017,0.38882,0.84265,0.93304,0.94005,0.9531,0.76434,0.77766,0.60304,0.93654,8.59096e-05,8.59096e-05,8.59096e-05
90,5508.42,0.63184,0.38458,0.84376,0.93991,0.93816,0.95804,0.76871,0.75282,0.5844,0.92287,7.93063e-05,7.93063e-05,7.93063e-05
91,5567.11,0.63235,0.393,0.85699,0.93448,0.94127,0.95717,0.77433,0.75446,0.58551,0.92399,7.2703e-05,7.2703e-05,7.2703e-05
92,5625.33,0.61878,0.39444,0.84872,0.93445,0.94236,0.95344,0.77819,0.73958,0.58815,0.92132,6.60997e-05,6.60997e-05,6.60997e-05
93,5683.35,0.62146,0.38636,0.85071,0.93624,0.94408,0.95097,0.76555,0.75138,0.59528,0.92672,5.94964e-05,5.94964e-05,5.94964e-05
94,5741.06,0.61544,0.38518,0.85461,0.92575,0.94027,0.95251,0.76979,0.7514,0.60875,0.92199,5.28931e-05,5.28931e-05,5.28931e-05
95,5800.06,0.61153,0.37875,0.84835,0.92635,0.9476,0.95433,0.77237,0.74994,0.5993,0.92375,4.62898e-05,4.62898e-05,4.62898e-05
96,5859.76,0.60934,0.38058,0.8487,0.93196,0.94534,0.95304,0.77407,0.7517,0.59502,0.92351,3.96865e-05,3.96865e-05,3.96865e-05
97,5917.54,0.6045,0.37982,0.84405,0.92837,0.94537,0.95243,0.77439,0.74906,0.59655,0.9224,3.30832e-05,3.30832e-05,3.30832e-05
98,5974.31,0.61367,0.38077,0.85419,0.92856,0.94367,0.95133,0.77249,0.74801,0.59276,0.92418,2.64799e-05,2.64799e-05,2.64799e-05
99,6032.55,0.60798,0.37595,0.85439,0.93025,0.94461,0.95124,0.77137,0.75241,0.59242,0.92666,1.98766e-05,1.98766e-05,1.98766e-05
100,6091.06,0.60646,0.37644,0.84613,0.93166,0.94387,0.95086,0.77046,0.7492,0.58865,0.92487,1.32733e-05,1.32733e-05,1.32733e-05
